Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/792.mtx 4:18 6:108 8:670 10:4247 12:30551 14:218466 16:1619779 18:12139805 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/971.mtx 4:22 6:133 8:916 10:6504 12:49476 14:387917 16:3110136 18:25338778 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/046.mtx 4:20 6:103 8:734 10:4425 12:32504 14:235440 16:1764192 18:13371391 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/391.mtx 4:23 6:123 8:985 10:6537 12:51145 14:399533 16:3230752 18:26393566 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/097.mtx 4:23 6:120 8:808 10:5569 12:41691 14:317106 16:2463596 18:19501436 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/120.mtx 4:17 6:113 8:758 10:4815 12:35023 14:257998 16:1955715 18:15031414 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/982.mtx 4:22 6:117 8:775 10:5168 12:37393 14:282337 16:2165024 18:16840001 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/431.mtx 4:23 6:127 8:730 10:5113 12:38320 14:285644 16:2190339 18:17071616 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/081.mtx 4:20 6:148 8:899 10:6522 12:49833 14:391875 16:3146633 18:25659108 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/320.mtx 4:20 6:93 8:622 10:4066 12:27639 14:196328 16:1431327 18:10581325 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/238.mtx 4:20 6:116 8:698 10:4565 12:33238 14:243629 16:1822854 18:13894760 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/489.mtx 4:20 6:133 8:797 10:5576 12:41405 14:316791 16:2462713 18:19462799 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/005.mtx 4:24 6:114 8:733 10:4799 12:36074 14:263027 16:2004744 18:15445925 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/785.mtx 4:20 6:143 8:946 10:6536 12:50469 14:398624 16:3206495 18:26207940 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/876.mtx 4:20 6:81 8:539 10:3396 12:22435 14:154468 16:1081614 18:7728434 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/044.mtx 4:18 6:133 8:671 10:4643 12:33882 14:247699 16:1865777 18:14255454 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/634.mtx 4:21 6:105 8:646 10:4382 12:30917 14:222815 16:1648279 18:12410102 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/380.mtx 4:16 6:114 8:618 10:3992 12:28253 14:200942 16:1464540 18:10864572 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/622.mtx 4:13 6:73 8:380 10:2122 12:13164 14:81575 16:526091 18:3429736 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/642.mtx 4:20 6:102 8:574 10:4033 12:27035 14:191466 16:1392752 18:10247800 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/392.mtx 4:18 6:100 8:598 10:3875 12:26559 14:187381 16:1354889 18:9945447 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/995.mtx 4:15 6:80 8:435 10:2558 12:16333 14:105374 16:705424 18:4756771 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/398.mtx 4:22 6:145 8:862 10:6124 12:46053 14:358304 16:2846311 18:22911711 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/270.mtx 4:17 6:99 8:627 10:3818 12:26654 14:188981 16:1360807 18:10006545 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/348.mtx 4:25 6:154 8:978 10:7669 12:59889 14:483860 16:4002588 18:33655897 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/135.mtx 4:23 6:116 8:808 10:5397 12:40858 14:304998 16:2377208 18:18688194 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/554.mtx 4:26 6:81 8:623 10:3802 12:27522 14:190015 16:1386914 18:10176390 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/469.mtx 4:17 6:65 8:434 10:2204 12:14455 14:90452 16:594390 18:3919130 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/826.mtx 4:19 6:89 8:610 10:3751 12:25933 14:181108 16:1301675 18:9522140 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/708.mtx 4:23 6:102 8:656 10:4215 12:29952 14:216954 16:1596876 18:11958522 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/852.mtx 4:17 6:119 8:699 10:4585 12:33413 14:243207 16:1826893 18:13916974 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/234.mtx 4:22 6:126 8:745 10:5452 12:40121 14:301130 16:2328099 18:18305412 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/372.mtx 4:18 6:99 8:587 10:3688 12:25433 14:177598 16:1274416 18:9290868 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/832.mtx 4:24 6:96 8:625 10:3964 12:28175 14:199191 16:1456806 18:10786430 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/661.mtx 4:23 6:142 8:938 10:6792 12:52279 14:415827 16:3358284 18:27628527 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/726.mtx 4:23 6:116 8:760 10:5387 12:39121 14:294713 16:2270256 18:17786167 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/106.mtx 4:16 6:87 8:423 10:2680 12:17096 14:111902 16:750120 18:5115553 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/587.mtx 4:21 6:133 8:847 10:5836 12:44057 14:338546 16:2666673 18:21283526 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/819.mtx 4:18 6:80 8:466 10:2959 12:18847 14:125318 16:854606 18:5931657 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/658.mtx 4:20 6:104 8:735 10:4612 12:33843 14:245969 16:1850101 18:14130476 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/767.mtx 4:29 6:144 8:1009 10:7445 12:60340 14:482380 16:3998424 18:33586474 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/475.mtx 4:20 6:148 8:864 10:6571 12:49416 14:386912 16:3106187 18:25275966 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/828.mtx 4:19 6:110 8:777 10:4734 12:35462 14:260781 16:1975709 18:15208651 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/191.mtx 4:18 6:72 8:482 10:2724 12:17783 14:116724 16:789611 18:5409945 
