Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_06.mtx 3.1 223.286 0.101613 1.64516 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.2 246.944 0.0871345 1.38889 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.3 319.614 0.06 0.971429 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.4 383.962 0.0455481 0.75188 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.5 417.217 0.0327091 0.613497 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.6 522.841 0.0251281 0.442478 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.7 561.877 0.0216238 0.387597 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.8 673.76 0.0158048 0.290698 
../gentests/ComparableTest/b5_10_0000_06.mtx 3.9 700.683 0.0128809 0.263158 
../gentests/ComparableTest/b5_10_0000_06.mtx 4 928.517 0.00967307 0.172355 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.1 1066.69 0.00672239 0.13459 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.2 1266.13 0.00494336 0.102987 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.3 1519.07 0.00314794 0.0788022 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.4 1864.21 0.00271114 0.0581395 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.5 2298.72 0.00181239 0.0429369 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.6 2796.51 0.0011719 0.0328407 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.7 3435.19 0.000838506 0.024777 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.8 3892.24 0.000716912 0.0206697 
../gentests/ComparableTest/b5_10_0000_06.mtx 4.9 4990.38 0.000516775 0.0151057 
../gentests/ComparableTest/b5_10_0000_06.mtx 5 6349.1 0.000392695 0.0112208 
../gentests/ComparableTest/b5_10_0000_07.mtx 1 47.9363 6.61316 68.5 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.1 46.5324 5.67105 65.5 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.2 45.0209 5.26053 59.5 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.3 44.4476 4.76316 53.5 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.4 52.3008 4.17018 47 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.5 51.1169 3.83333 44.6667 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.6 50.0208 3.18246 38.3333 
